Wind speed;Power;Wind direction
2.6;0;248.900009
3.4;0;274.100006
2.9;0;290.100006
3.4;0;300.200012
4.6;0;261.700012
2.7;0;303.399994
1.6;0;268.5
4.5;1.7;254
4.7;2.2;244.800003
4.4;1.6;268.600006
3.8;0.2;231.699997
6.2;2.1;229.699997
2.8;0.2;304.100006
3;0.6;248.300003
3.6;0.4;298.899994
2.7;0.2;250.600006
3.2;0.7;152.300003
3.2;0.6;256.399994
2.8;0;271.100006
2.6;0;253.699997
3.2;0.5;256.200012
3.3;0;239.300003
4.1;1.4;291.5
3.4;0.7;283
2.4;0;293.800018
1.6;0;273.899994
2;0;302.300018
2.6;0;298.700012
2.4;0;289.700012
2.7;0;283.800018
2.6;0;281.899994
2.4;0;290.300018
3.1;0;243
2.3;0;283.300018
1.8;0;279.300018
2.1;0;257.800018
1.8;0;279.800018
1.3;0;288.600006
1.3;0;270.700012
1.3;0;239.699997
1.7;0;239.199997
1;0;210
1.8;0;238.699997
0.7;0;307.5
0.6;0;291.300018
0.7;0;254.800003
0.3;0;225.400009
1.3;0;269.5
1.4;0;257
0.5;0;257.100006
0.8;0;235.900009
1;0;234.300003
1;0;227.900009
0.5;0;224.800003
1;0;250.800003
0.4;0;296.600006
0.8;0;267.899994
1;0;257.399994
0.9;0;299.399994
0.8;0;297.800018
1;0;261.5
1.4;0;260.300018
1.4;0;269.200012
1.2;0;260
1.2;0;241.100006
0.9;0;245.5
1.2;0;256.700012
0.7;0;263.800018
1;0;252
0.4;0;230.100006
0.9;0;260.600006
0.8;0;278.100006
0.9;0;261.300018
0.9;0;258.800018
1;0;254.5
0.9;0;264.899994
0.8;0;257.899994
0.8;0;252.5
0.5;0;257.100006
1.1;0;257.600006
0.3;0;253.5
0.9;0;249.100006
1.2;0;254.5
0.8;0;248.699997
1.4;0;260
1.3;0;257.700012
1.5;0;256.399994
2.2;0;255.199997
1.2;0;245.300003
1.2;0;246.900009
0.8;0;260
2;0;252.5
